Name;Code;hotel;hotel-href;text;NatCity;NatMount;NatSea;EntClub;EntKid;EntRom;ActSpo;ActSho;ActCul;ActAdv;price
Berlin Hotels;47;Das Stue;http://www.tripadvisor.com/Hotel_Review-g187323-d3505235-Reviews-Das_Stue-Berlin.html;79 Room Luxury boutique hotel located next to the famous Tiergarten park and Berlin Zoo.Das Stue is an independant run hotel designed by Patricia Urquiola. It has 2 restaurants, one being the Michelin starred Cinco restaurant by Paco Perez.Other facilities include a spa by Suzanne Kaufmann, swimming pool, bar and library.;3;0;0;2;1;3;1;3;3;1;3
Istanbul Hotels;48;Grand Hyatt Istanbul;http://www.tripadvisor.com/Hotel_Review-g293974-d294608-Reviews-Grand_Hyatt_Istanbul-Istanbul.html;Meeting your high expectations of five star hotels in Istanbul, at the Grand Hyatt Istanbul you can relax in modern, stylish and comfortable surroundings, and unwind in 360 luxury Istanbul hotel rooms and suites with spectacular views of the city, the pool or the Bosphorous Strait. The Istanbul city centre hotel is just minutes away from the Taksim, historic landmarks of the Old City, including Hagia Sophia, the Blue Mosque and Topkapi Palace. One of the best hotels in Istanbul in which to sample authentic Turkish and Mediterranean cuisine, the Grand Hyatt Istanbul Hotel invites you to please your palate at a host of Istanbul restaurants and lounges, including new Restaurant 34,The Mezzanine Bar & Lounge, The Library Bar and Gazebo. Our luxury Istanbul hotel offers modern spa treatments and authentic hammam rituals in Gaia Spa & Fitness Centre. The last word in Istanbul 5 star hotels, the Grand Hyatt Istanbul's superb facilities include a hair and beauty salon, a stunning outdoor swimm;3;0;1;2;1;3;1;3;3;0;2
Sochi Hotels;49;Radisson Blu Resort & Congress Centre, Sochi;http://www.tripadvisor.com/Hotel_Review-g1956128-d3463920-Reviews-Radisson_Blu_Resort_Congress_Centre_Sochi-Adler_Adler_District_Sochi_Greater_Sochi_Kr.html;Attractively designed and well equipped Radisson Blu Resort & Congress Centre is located in Sochi â€“ the real pearl of the â€œRussian Rivieraâ€ù. The property enjoys a fantastic location with beach and the Black Sea on the one side and the Caucasian mountains on the other side.;0;2;2;1;1;2;3;1;1;3;1
Rimini Hotels;50;BW PREMIER COLLECTION Hotel Milton Rimini;http://www.tripadvisor.com/Hotel_Review-g187807-d202762-Reviews-BW_PREMIER_COLLECTION_Hotel_Milton_Rimini-Rimini_Province_of_Rimini_Emilia_Romagna.html;The Hotel Milton Rimini is a beautiful 4-star hotel offering a terrific location close to the beach and town centre. The hotel overlooks the sea and one of the most beautiful Italian beaches. 75 rooms provide the best facilities and accommodation either for your holiday or business stay on the Adriatic Riviera. Free wi fi, a small and temptative spa with massages, a high quality restaurant and conference facilities also combine to bring about the best hotel service.;2;0;3;3;2;1;1;3;2;2;2
Madrid Hotels;51;NH Collection Palacio de Tepa;http://www.tripadvisor.com/Hotel_Review-g187514-d1875767-Reviews-NH_Collection_Palacio_de_Tepa-Madrid.html;Located in Madrid's Las Letras district, the NH Collection Palacio de Tepa is surrounded by history and romance. Just a five-minute walk away, the famous Plaza Mayor and next to Plaza Santa Ana enchant tourists and locals alike.;3;0;0;2;1;3;1;3;3;1;3
Corsica Hotels;52;Hotel Les Mouettes;http://www.tripadvisor.com/Hotel_Review-g187140-d265867-Reviews-Hotel_Les_Mouettes-Ajaccio_Corse_du_Sud_Corsica.html;Located on Corsica's famous Route des Iles Sanguinaires, in the heart of the splendid Ajaccio Bay, the Hotel**** Les Mouettes is an enchanting 19th century seafront residence.;0;0;3;1;2;3;2;1;1;3;2
Corfu Hotels;53;Dina's Paradise Hotel & Apartments;http://www.tripadvisor.com/Hotel_Review-g1191902-d556921-Reviews-Dina_s_Paradise_Hotel_Apartments-Agios_Gordios_Corfu_Ionian_Islands.html;Dinas Paradise is situated at the beautiful Agios Gordios in Corfu Island on Greece. The Hotel is high enough on the hillside to offer its guests spectacular views yet only 350 meters from a lovely beach and the centre of Agios Gordios. Guests can enjoy a magnificent sea view and the rest of the resort, as well as a truly breathtaking sunset over the sea, from their balconies and the swimming pool area.;1;0;3;2;2;3;1;3;2;2;2
Rome Hotels;54;Barocco Hotel;http://www.tripadvisor.com/Hotel_Review-g187791-d203175-Reviews-Barocco_Hotel-Rome_Lazio.html;Overlooking Bernini's Triton Fountain, the Barocco is a boutique hotel with just 37 rooms (and a staff of 22!) Located in an old aristocratic building in the heart of Baroque Rome. Carefully refurbished in 2010 and 2012 to offer guests superior standards of comfort and style, the Barocco has followed the example of leading international hotels, becoming 100% smoke-free.Attention to detail, absolute cleanliness, unique and highly sought-after rooms, an atmosphere from times past, and 21st-century technology, make guests' stay at the Barocco a warm Italian experience full of magic.;3;0;0;2;0;3;1;3;3;0;2
Barcelona Hotels;55;Hotel DO;http://www.tripadvisor.com/Hotel_Review-g187497-d2649154-Reviews-Hotel_DO-Barcelona_Catalonia.html;In the heart of Barcelona, in one of the most historic squares in the city, the Hotel DO: Placa Reial is a unique gastronomic boutique hotel. Located in a historic building that dates from 1856 and was completely renovated in 2011, this 5-star hotel has a total of 18 luxury rooms, most of them with views over the Plaza Real.The Hotel DO: Placa Reial has a swimming pool, solarium, spa and a carefully selected gastronomic menu based on the concept of local produce and on the authenticity of what is local, presented in its three restaurants: La Cuina, La Terrassa and El Terrat.True to its surroundings, the Hotel DO: Placa Reial is close to the main tourist attractions in the centre of Barcelona such as the Ramblas, the Liceo, the Boqueria market, the Palacio de la Musica concert hall, the Cathedral, the Palau Guell, Santa Maria del Mar, the Picasso Museum and the Port of Barcelona, among others.;3;0;0;2;1;3;1;3;3;2;3
Madrid Hotels;56;Hotel Regina;http://www.tripadvisor.com/Hotel_Review-g187514-d266365-Reviews-Hotel_Regina-Madrid.html;The Hotel Regina has a superb location in the heart of Madrid, next to the famous Puerta del Sol and in front of the Sevilla metro station. It has a rich buffet breakfast, and free Wi-Fi access.;3;0;0;2;1;2;1;3;3;1;3
Istanbul Hotels;57;Levni Hotel & Spa;http://www.tripadvisor.com/Hotel_Review-g293974-d1897902-Reviews-Levni_Hotel_Spa-Istanbul.html;Levni Hotel & Spa Old City is a special category (5 star category) hotel located in Sirkeci Istanbul within 5 min. walking distance to many museums and palaces - Topkapi Palace, Santa Sophia, Blue Mosque, Basilica cistern. All rooms are decorated in modern style. 1 suite and 30 deluxe rooms , 5 Excecutive rooms with jacuzzi some with a very nice Bosporus Sea view. SPA center is avaiable with an indoor pool, sauna, Turkish bath and gym. there are 3 therapy rooms including one for couple massages. Rich Open buffet in the Gourme Restaurant, which has a capacity of 100 pax also terrace cafe is avaiable. There are 2 meeting rooms with 100 pax and 30 pax capacity connected to each other with a lounge and one exclusive VIP room with capacity upto 12 pax. our business center is avaiable with free internet and printing services nex to meeting rooms.;3;0;0;1;0;2;0;3;3;1;2
Barcelona Hotels;58;Hotel Yurbban Trafalgar;http://www.tripadvisor.com/Hotel_Review-g187497-d7138272-Reviews-Hotel_Yurbban_Trafalgar-Barcelona_Catalonia.html;Yurbban Trafalgar Hotel was born in Barcelona with the aim of uniting urban tourism concepts and the essence of everything that is local, indigenous and authentic. A hotel with indulgent and well-designed decoration so that our visitors enjoy their stay in the heart of the city in comfort and peace. Is a brand new place to stay in Barcelona, designed for the most demanding customers, with the latests technologies located in the Downtown Barcelona. Discover the unknown Barcelona with Yurbban Trafalgar.;3;0;0;2;2;2;1;3;3;1;3
Istanbul Hotels;59;Tomtom Suites;http://www.tripadvisor.com/Hotel_Review-g293974-d1194862-Reviews-Tomtom_Suites-Istanbul.html;"Tomtom Suites, The Old Franciscan House is an authentic Istanbul building whose posture reflects the social history of Pera from 1850â€™s to recent. Throughout its history, this building was home for French nuns and some well-known Levantine families. Now it is ready to host its new guests with its ""unique"" service policy and a new design, pairing modern comfort with historical background. Tomtom Suites, The Old Franciscan House has 20 suites, a terrace offering a panoramic view of old town and a nostalgic outlook. It tells the story of an over 100 years old building with a stylish language, but without loosing the essence of the story.";3;0;0;2;1;1;1;2;2;1;2
St. Petersburg Hotels;60;Nevskiy Hotel Grand;http://www.tripadvisor.com/Hotel_Review-g298507-d648200-Reviews-Nevskiy_Hotel_Grand-St_Petersburg_Northwestern_District.html;This business-class hotel is just a minute's walk from Nevsky Prospect and within minutes of Palace Square, the Hermitage, the Field of Mars and the inspiring Church of the Resurrection on Griboedov Canal. The Nevsky Hotel Grand occupies seven storeys and has a lift that accommodates thirteen. The regular rooms offer a choice of double bed or twin beds. Every room has an individual bathroom with a choice of shower or bath. Also standard is air conditioning, WiFi Internet, phone, television, hair-dryer and room safe. The hotel's five spacious suites come with a queen-size bed, sauna and Jacuzzi. The hotel restaurant, called Cafe Grand, is open from 7 o'clock in the morning till 11 o'clock at night. Meals are professionally prepared and served. We encourage guests to make use of the numerous services the hotel offers, such as visa support, registration for only 200 roubles and a car and driver to and from the airport or railway station. There's laundry and dry cleaning service, a full se;3;0;0;1;2;1;1;2;2;1;2
Corsica Hotels;61;Le Pinarello Hotel;http://www.tripadvisor.com/Hotel_Review-g196484-d579648-Reviews-Le_Pinarello_Hotel-Porto_Vecchio_Corse_du_Sud_Corsica.html;At the heart of an unspoiled and protected bay, the hotel is on the beach of he little village of Pinarello. A preserved spot, close to Porto Vecchio, that is both calm and effervescent.;0;1;3;2;1;2;1;2;3;3;2
Corfu Hotels;62;Aquis Sandy Beach Resort;http://www.tripadvisor.com/Hotel_Review-g664648-d276101-Reviews-Aquis_Sandy_Beach_Resort-Agios_Georgios_Corfu_Ionian_Islands.html;Aquis Sandy Beach Resort acquired by Aquis Hotels and Resorts from the summer 2009 onwards. It is an extremely family friendly property, located on the sandy beach of St George South West, Corfu. Apartments will be refurbished in order to achieve the highest standards of hospitality and comfort.;0;0;3;3;2;2;2;1;1;3;2
London Hotels;63;London House Hotel;http://www.tripadvisor.com/Hotel_Review-g186338-d243430-Reviews-London_House_Hotel-London_England.html;Charming , newly renovated Hotel in Central London situated in a quiet and charming street The London House Hotel overlooks a leafy Victorian park in the exclusive Bayswater area and offers the excellent combination of both comfort and affordability in a prime location in central London. All room are newly renovated with contemporary dÃ©cor. All rooms have air condition, TV, safe, mini fridge.;3;0;0;2;1;2;1;3;3;1;2
Istanbul Hotels;64;Swissotel The Bosphorus;http://www.tripadvisor.com/Hotel_Review-g293974-d294609-Reviews-Swissotel_The_Bosphorus-Istanbul.html;A member of the Leading Hotels of the World and awarded Europe Luxury Hotel 2013 by World Luxury Hotel Awards, Swissotel The Bosphorus, Istanbul is a five-star luxury hotel right in the centre of Istanbul on the European banks of the Bosphorus. Nestled within 65 acres of historical gardens with world-class shopping and vibrant nightlife nearby, it offers 497 guest rooms and suites, featuring state-of-the-art technology and exclusive amenities. For guest staying in Executive rooms, the Swiss Executive Club lounge provides additional luxury and exclusivity.In addition to various meeting space with the capacity of 5 to 1200 people, including function rooms and a ballroom, a team of event planners is on hand to help you hold the perfect wedding at Swissotel The Bosphorus, Istanbul.The award-winning Purovel Spa & Sport offers luxurious holistic spa treatments from all over the world.Secure hotel parking is also available for your vehicle during your stay.Swissotel The Bosphorus, Istanbul pr;3;0;0;2;1;2;1;3;3;1;3
Rimini Hotels;65;Diplomat Palace Hotel;http://www.tripadvisor.com/Hotel_Review-g187807-d237231-Reviews-Diplomat_Palace_Hotel-Rimini_Province_of_Rimini_Emilia_Romagna.html;Diplomat Palace is a splendid 4 star hotel in Rimini, directly on the sea that looks out across the sparkling beauty on the beach in Rimini. The Diplomat Palace in Rimini courtesy, good taste and elegance reign supreme. Beautiful, comfortable and tastefully decorated rooms, all overlooking the sea.The Diplomat Palace Hotel was completely renovated in 2010, this restructuring has enabled the creation of a jewel: the spa. Our Spa is styata built on the top floor and enjoys a breathtaking view showing the whole Riviera of Rimini, a show that gives great emotions in an atmosphere of total relaxation. The Wellness Center Hotel Diplomat Palace has 2 spa tubs. sauna, Turkish bath, emotional showers, relaxation room and massage room, all to offer our guests unforgettable moments of pleasure.The breakfast room offers guests large bright with a beautiful sea view.;0;0;3;3;2;2;1;2;1;2;3
Madrid Hotels;66;The Westin Palace Madrid;http://www.tripadvisor.com/Hotel_Review-g187514-d190569-Reviews-The_Westin_Palace_Madrid-Madrid.html;"Built by order of King Alfonso XIII in 1912, The Westin Palace, Madrid was recently restored to its original splendor. Situated near the Prado museum, historic monuments and some of the best tapas restaurants in town, It is listed in the CondÃ© Nast Traveler ""Gold List 2010"" as one of the best hotels in Spain.";3;0;0;2;1;2;1;3;3;1;3
Barcelona Hotels;67;Villa Emilia;http://www.tripadvisor.com/Hotel_Review-g187497-d623893-Reviews-Villa_Emilia-Barcelona_Catalonia.html;The Hotel Villa Emilia is a modern property situated in a prime location in the heart of Barcelona, perfect for business travelers and holidays trips. Its 53 double guestrooms are fully equipped and decorated with exquisite taste. Guests can enjoy Mediterranean food in the Zinc-Bar, lounge on our famous Terrace, enjoying live DJ/music and cocktails, or organize special events and meetings in the Salon Rojo and El Privat.;3;0;0;2;1;2;1;3;3;1;3
Berlin Hotels;68;Berlin Marriott Hotel;http://www.tripadvisor.com/Hotel_Review-g187323-d276043-Reviews-Berlin_Marriott_Hotel-Berlin.html;The Berlin Marriott Hotel is located at the Potsdamer Platz. The hotel is within walking distance to several Berlin sightseeing highlights, such as the Brandenburg Gate and Sony Center in Berlin.;3;0;0;2;1;2;1;3;3;2;3
Rome Hotels;69;Hotel Hassler;http://www.tripadvisor.com/Hotel_Review-g187791-d191332-Reviews-Hotel_Hassler-Rome_Lazio.html;Hassler Roma is the legendary five star Rome luxury hotel at the top of the Spanish Steps, residence of choice for a memorable experience in the Eternal City. In the heart of the cityâ€™s historic center, the Hassler is one of the best hotels in Rome, minutes from Via Condotti as well as important monuments and landmarks, including the Pantheon, St. Peterâ€™s Basilica, the Coliseum, the Villa Borghese gardens and The Trevi Fountain. Owned by President and Managing Director Roberto E. Wirth, fifth generation of a famous Swiss dynasty of hoteliers, the Hassler Roma hotel offers 95 unique rooms and suites. Magnificent dining options within the hotel include the Michelin-starred ImÃ go, the Salone Eva and Palm Court Restaurants and Hassler Bar, and Il Palazzetto Restaurant & Wine Bar nearby. Elegance, style, the highest quality service and discretion have made the Hassler Roma the very symbol of international hospitality.;3;0;0;2;1;2;1;3;3;1;3
